Date,Portfolio,Cash,QQQ,QQQ_holdings,BND,BND_holdings,GLD,GLD_holdings
2010-05-07,100329534.22156857,-36701.81472637953,58023532.71536356,1472196.5184505847,31591951.6825391,635905.5748939181,10750751.638392286,90900.07561966521
2010-05-10,103245852.94078591,-36701.81472637953,61039057.80603173,1472196.5184505847,31556375.086617034,635905.5748939181,10687121.862863537,90900.07561966521
2010-05-11,103506323.5887656,-36701.81472637953,60975181.60363588,1472196.5184505847,31599840.342701282,635905.5748939181,10968003.457154823,90900.07561966521
2010-05-12,104636612.32109761,-36701.81472637953,62125183.502106495,1472196.5184505847,31512861.314787634,635905.5748939181,11035269.318929864,90900.07561966521
2010-05-13,103635685.30463965,-36701.81472637953,61141302.41134374,1472196.5184505847,31572171.813239463,635905.5748939181,10958912.894782826,90900.07561966521
2010-05-14,102549599.6269531,-36701.81472637953,59965747.785521165,1472196.5184505847,31678911.30415469,635905.5748939181,10941642.352003617,90900.07561966521
2010-05-17,102653413.97007735,-36701.81472637953,60157410.08861291,1472196.5184505847,31682872.614746585,635905.5748939181,10849833.081444243,90900.07561966521
2010-05-18,101953289.29372457,-36701.81472637953,59326862.20991397,1472196.5184505847,31801479.056926697,635905.5748939181,10861649.841610283,90900.07561966521
2010-05-19,101228497.13312833,-36701.81472637953,58854097.44201461,1472196.5184505847,31809425.935983066,635905.5748939181,10601675.569857037,90900.07561966521
2010-05-20,99027024.90200463,-36701.81472637953,56669108.998077326,1472196.5184505847,31864753.29175768,635905.5748939181,10529864.426895998,90900.07561966521
2010-05-21,99640274.0666278,-36701.81472637953,57295223.82599259,1472196.5184505847,31908245.231501766,635905.5748939181,10473506.823859831,90900.07561966521
2010-05-24,99553593.59529561,-36701.81472637953,57065232.43187292,1472196.5184505847,31904298.475633416,635905.5748939181,10620764.502515664,90900.07561966521
2010-05-25,99659855.50600015,-36701.81472637953,57116315.422640696,1472196.5184505847,31912208.967880916,635905.5748939181,10668032.930204911,90900.07561966521
2010-05-26,99082372.13656378,-36701.81472637953,56477463.54293769,1472196.5184505847,31872678.33872873,635905.5748939181,10768932.069623744,90900.07561966521
2010-05-27,101113650.14334153,-36701.81472637953,58611318.4522509,1472196.5184505847,31750103.30859495,635905.5748939181,10788930.197222074,90900.07561966521
2010-05-28,100849170.29634908,-36701.81472637953,58266322.93709535,1472196.5184505847,31813348.433978837,635905.5748939181,10806200.740001284,90900.07561966521
2010-06-01,100431501.11246946,-36701.81472637953,57729642.65491191,1472196.5184505847,31838731.871843867,635905.5748939181,10899828.400440075,90900.07561966521
2010-06-02,101759147.15568936,-36701.81472637953,59096859.58382624,1472196.5184505847,31810978.439828023,635905.5748939181,10888010.946761493,90900.07561966521
2010-06-03,102120240.9798557,-36701.81472637953,59659086.97737756,1472196.5184505847,31775282.980330326,635905.5748939181,10722572.836874204,90900.07561966521
2010-06-04,100274898.00425792,-36701.81472637953,57614683.461748295,1472196.5184505847,31862536.122204103,635905.5748939181,10834380.235031908,90900.07561966521
2010-06-07,99535320.35961455,-36701.81472637953,56566886.856701456,1472196.5184505847,31961685.324789856,635905.5748939181,11043449.992849614,90900.07561966521
2010-06-08,99376646.75993302,-36701.81472637953,56464664.71532559,1472196.5184505847,31949774.709354334,635905.5748939181,10998909.14997949,90900.07561966521
2010-06-09,98863880.12085299,-36701.81472637953,55991894.33144221,1472196.5184505847,31949774.709354334,635905.5748939181,10958912.894782826,90900.07561966521
2010-06-10,100185680.05358888,-36701.81472637953,57589091.422508106,1472196.5184505847,31818908.338373587,635905.5748939181,10814382.107433576,90900.07561966521
2010-06-11,100881225.69211583,-36701.81472637953,58138548.06836752,1472196.5184505847,31870461.169175155,635905.5748939181,10908918.269299533,90900.07561966521
2010-06-14,100839118.03742534,-36701.81472637953,58125760.472723484,1472196.5184505847,31878410.474018775,635905.5748939181,10871648.905409452,90900.07561966521
2010-06-15,102468806.59704019,-36701.81472637953,59684650.936697595,1472196.5184505847,31822857.52002919,635905.5748939181,10997999.95503978,90900.07561966521
2010-06-16,102726948.97868325,-36701.81472637953,59927429.92646131,1472196.5184505847,31898214.601190995,635905.5748939181,10938006.265757322,90900.07561966521
2010-06-17,103148564.75384404,-36701.81472637953,60119069.765616916,1472196.5184505847,31985477.446213804,635905.5748939181,11080719.356739696,90900.07561966521
2010-06-18,103271143.25378251,-36701.81472637953,60168990.24768977,1472196.5184505847,31973598.366012633,635905.5748939181,11165256.454806486,90900.07561966521
2010-06-21,102545192.67983846,-36701.81472637953,59656930.439508736,1472196.5184505847,31981504.00668562,635905.5748939181,10943460.048370492,90900.07561966521
2010-06-22,102256040.78287828,-36701.81472637953,59196060.32579214,1472196.5184505847,32056868.365209196,635905.5748939181,11039813.906603325,90900.07561966521
2010-06-23,102046665.54920268,-36701.81472637953,58952826.441321716,1472196.5184505847,32136177.05381386,635905.5748939181,10994363.868793491,90900.07561966521
2010-06-24,101138735.66416347,-36701.81472637953,58056706.333048835,1472196.5184505847,32092551.695770603,635905.5748939181,11026179.450070404,90900.07561966521
2010-06-25,101322659.43756118,-36701.81472637953,58068247.180237465,1472196.5184505847,32132220.594796482,635905.5748939181,11158893.477253614,90900.07561966521
2010-06-28,101025091.1450854,-36701.81472637953,57862999.811768934,1472196.5184505847,32191703.32414361,635905.5748939181,11007089.823899241,90900.07561966521
2010-06-29,98884889.04509488,-36701.81472637953,55631078.589264564,1472196.5184505847,32267060.405305408,635905.5748939181,11023451.865251282,90900.07561966521
2010-06-30,98049174.24544567,-34329.22621508126,58850102.08299644,1581449.1737294672,29425051.041498225,579754.2388341745,9808350.347166074,80607.74426829835
2010-07-01,97523973.96781543,-34329.22621508126,58684756.47541597,1581449.1737294672,29439216.25565431,579754.2388341745,9434330.462960234,80607.74426829835
2010-07-02,97457368.29801998,-34329.22621508126,58519404.83508564,1581449.1737294672,29421081.242995467,579754.2388341745,9551211.446153952,80607.74426829835
2010-07-06,97549392.77264318,-34329.22621508126,58698523.210548,1581449.1737294672,29493590.33141411,579754.2388341745,9391608.456896162,80607.74426829835
2010-07-07,99485449.94793484,-34329.22621508126,60572482.32570897,1581449.1737294672,29457346.845139336,579754.2388341745,9489950.00330161,80607.74426829835
2010-07-08,99752477.45913306,-34329.22621508126,60903203.704619125,1581449.1737294672,29435569.348840356,579754.2388341745,9448033.631888656,80607.74426829835
2010-07-09,100391232.83231801,-34329.22621508126,61481883.167401604,1581449.1737294672,29402946.230336625,579754.2388341745,9540732.660794856,80607.74426829835
2010-07-12,100498998.10029621,-34329.22621508126,61661007.57561379,1581449.1737294672,29413807.33364974,579754.2388341745,9458512.417247754,80607.74426829835
2010-07-13,101329672.47301435,-34329.22621508126,62460202.143252134,1581449.1737294672,29363066.89518244,579754.2388341745,9540732.660794856,80607.74426829835
2010-07-14,101717897.98015562,-34329.22621508126,62777114.55778138,1581449.1737294672,29439216.25565431,579754.2388341745,9535896.392935008,80607.74426829835
2010-07-15,101796381.05824175,-34329.22621508126,62832241.82580789,1581449.1737294672,29468214.583213184,579754.2388341745,9530253.875435758,80607.74426829835
2010-07-16,100032337.03486496,-34329.22621508126,61096052.61871447,1581449.1737294672,29566108.266180392,579754.2388341745,9404505.376185182,80607.74426829835
2010-07-19,100447556.38830389,-34329.22621508126,61619701.33746786,1581449.1737294672,29533449.762286104,579754.2388341745,9328734.514765013,80607.74426829835
2010-07-20,101262156.46098116,-34329.22621508126,62363738.473330505,1581449.1737294672,29529853.721971076,579754.2388341745,9402893.491894659,80607.74426829835
2010-07-21,100448552.37827258,-34329.22621508126,61509470.932414226,1581449.1737294672,29635003.62158873,579754.2388341745,9338407.050484708,80607.74426829835
2010-07-22,102054326.21120119,-34329.22621508126,63066469.371047236,1581449.1737294672,29602365.021976627,579754.2388341745,9419821.044392409,80607.74426829835
2010-07-23,102341104.6987036,-34329.22621508126,63466078.72036607,1581449.1737294672,29551602.46764023,579754.2388341745,9357752.736912379,80607.74426829835
